Stock,Price,Beta,Volume,Avg 3 Month Vol,Market Cap,P/E,EPS,MR This Week,MR Last Week,Change,Mean Target,Median Target,High Target,Low Target,Num Brokers
ONP,2.74,1.93,"59,989","116,949",50.57M,4.49,0.61,3.0,3.0,0.0,5.00,5.00,5.00,5.00,1
IIN,4.00,2.63,"14,792","6,670",22.83M,N/A,-0.78,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
III,4.04,1.58,"226,409","207,400",149.84M,38.11,0.11,1.5,1.5,0.0,6.00,6.00,6.00,6.00,1
CNTF,1.89,2.37,"984,203","306,744",100.04M,N/A,-0.07,N/A,N/A,N/A,0.35,0.35,0.35,0.35,1
FORM,6.37,0.95,"493,282","369,029",347.59M,N/A,-0.71,2.3,2.3,0.0,7.46,7.00,10.00,4.50,7
VPHM,49.89,1.58,"341,412","3,064,560",3.29B,N/A,-0.97,2.5,2.5,0.0,38.79,39.00,50.00,25.00,12
NTWK,5.79,0.65,"380,117","240,011",51.86M,8.49,0.68,1.5,1.5,0.0,11.10,7.00,20.00,6.30,3
KEYW,14.96,1.38,"826,883","148,127",540.62M,N/A,-0.28,1.9,1.9,0.0,16.71,17.00,19.00,13.00,7
LEDS,1.20,1.51,"4,591,033","282,241",33.31M,N/A,-1.58,2.0,2.0,0.0,3.00,3.00,3.00,3.00,1
FORD,1.60,1.04,"41,561","11,025",12.95M,N/A,-0.40,N/A,N/A,N/A,2.28,2.28,2.28,2.28,1
RDHL,12.43,0.050,"6,004","4,216",77.85M,N/A,-1.77,2.0,2.0,0.0,20.00,20.00,20.00,20.00,1
NVGN,4.59,-0.02,"98,492","147,987",25.39M,N/A,-0.23
ANTH,3.31,1.27,"123,527","126,062",63.90M,N/A,-1.92,2.2,2.2,0.0,12.98,10.00,28.88,4.00,6
FRGI,51.69,N/A,"204,594","342,700",1.19B,70.52,0.73,1.2,1.2,0.0,38.60,38.00,44.00,34.00,5
FORR,37.91,0.76,"41,168","51,444",748.84M,55.02,0.69,3.0,3.0,0.0,36.00,36.00,36.00,36.00,1
SFNC,36.44,1.09,"40,358","45,424",590.40M,21.81,1.67,2.0,2.0,0.0,36.00,36.00,37.00,35.00,3
CNTY,5.25,-0.12,"127,839","273,510",127.98M,18.10,0.29,1.5,1.5,0.0,6.78,6.78,7.00,6.55,2
SIBC,15.26,-0.05,593,"2,338",38.75M,97.20,0.16
HMIN,41.94,1.73,"638,137","308,770",1.96B,67.43,0.62,1.8,1.8,0.0,252.27,260.31,302.68,165.87,13
BIND,14.46,N/A,"57,400","118,313",236.67M,N/A,-12.33,1.8,1.8,0.0,25.25,25.50,30.00,20.00,4
CFD,15.23,N/A,"35,003","62,137",0,0,0,0,0,0
OLBK,14.50,0.99,"5,315","9,194",156.11M,22.94,0.63,2.0,2.0,0.0,16.50,17.00,17.50,15.00,3
CALI,4.32,1.53,"440,466","173,111",15.96M,88.16,0.05,3.0,3.0,0.0,N/A,N/A,N/A,N/A,N/A
MRLN,26.37,0.96,"31,426","25,956",329.39M,20.76,1.27,1.0,1.0,0.0,36.00,36.00,36.00,36.00,1
CALL,12.18,1.3,"251,811","393,551",225.96M,4.95,2.46,1.0,1.0,0.0,20.00,20.00,20.00,20.00,1
CALM,57.87,0.68,"122,908","71,360",1.40B,22.69,2.55,2.0,2.0,0.0,56.50,56.50,63.00,50.00,2
SYBT,30.38,1.06,"23,371","25,143",442.48M,15.66,1.94,3.0,3.0,0.0,32.50,31.50,36.00,31.00,4
RUTH,13.62,1.14,"432,407","249,833",476.36M,21.79,0.63,2.0,2.0,0.0,14.00,14.00,15.00,13.00,3
CALD,13.10,1.84,"555,315","617,116",528.95M,N/A,-0.63,1.7,1.7,0.0,13.88,13.88,15.50,12.00,6
CFP,5.18,N/A,"216,982","378,805",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FIZZ,20.44,0.48,"57,384","23,751",946.99M,21.29,0.96,N/A,N/A,N/A,16.75,16.75,16.75,16.75,1
ESCA,11.77,0.85,"11,881","29,529",159.34M,15.11,0.78,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
UTEK,28.64,1.45,"314,775","389,597",797.02M,40.62,0.71,2.7,2.7,0.0,31.00,30.50,46.00,22.00,6
CBOE,51.66,0.8,"648,582","523,202",4.50B,26.95,1.92,2.9,2.9,0.0,50.51,50.00,57.00,41.60,15
