Stock,Price,Beta,Volume,Avg 3 Month Vol,Market Cap,P/E,EPS,MR This Week,MR Last Week,Change,Mean Target,Median Target,High Target,Low Target,Num Brokers
BNFT,56.66,N/A,"81,038","108,690",1.39B,N/A,-4.63,1.5,1.5,0.0,55.17,55.50,57.00,52.00,6
ELSE,3.97,0.63,"10,135","13,584",13.47M,11.38,0.35,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
STBZ,18.21,1.01,"78,227","133,306",582.68M,104.66,0.17,1.9,1.9,0.0,19.42,19.50,21.00,18.00,6
FIVE,43.63,0,"714,308","845,833",2.36B,89.04,0.49,2.3,2.3,0.0,49.88,51.50,58.00,36.00,12
FTD,31.42,N/A,"159,210","260,580",583.88M,28.49,1.10
LHCG,24.00,1.19,"80,129","62,725",422.45M,16.52,1.45,2.9,2.9,0.0,23.00,24.00,27.00,17.00,9
FTF,13.01,N/A,"65,274","85,998",0,0,0,0,0,0
UTMD,53.99,0.09,"8,534","5,384",201.87M,19.91,2.71,1.0,1.0,0.0,N/A,N/A,N/A,N/A,N/A
LABL,36.93,1.21,"35,163","56,191",605.58M,19.44,1.90,1.3,1.3,0.0,41.50,42.00,42.00,40.00,4
FULLL,26.23,N/A,0,"2,729",0,0,0,0,0,0
SBSA,3.65,2.36,"2,215","10,997",26.52M,N/A,-1.20,N/A,N/A,N/A,2.00,2.00,2.00,2.00,1
CBF,22.81,N/A,"93,517","102,822",1.17B,39.06,0.58,2.1,2.1,0.0,23.75,24.00,25.00,20.25,9
HIMX,14.63,3.02,"6,362,244","7,896,700",2.49B,41.80,0.35,2.0,2.0,0.0,12.35,12.00,16.00,9.20,8
CHLN,2.38,-0.32,"109,268","169,038",84.48M,4.05,0.59,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PSAU,19.07,23.72M,"7,053","33,632",0,0,0,0,0,0
QCCO,1.78,0.95,"24,980","26,425",30.89M,N/A,-0.10,3.0,3.0,0.0,5.00,5.00,5.00,5.00,1
CNBKA,33.93,0.81,"13,961","8,410",188.52M,9.53,3.56,N/A,N/A,N/A,16.00,16.00,16.00,16.00,1
MXN,12.92,N/A,"2,001","4,384",0,0,0,0,0,0
ININ,66.64,1.5,"77,815","91,357",1.35B,173.99,0.38,2.1,2.1,0.0,71.00,70.50,78.00,66.00,6
MXC,6.95,1.99,"8,105","18,044",14.15M,173.75,0.04,N/A,N/A,N/A,0.00,0.00,0.00,0.00,0
NUAN,15.34,1.33,"3,133,081","7,282,120",4.83B,32.50,0.47,2.5,2.5,0.0,17.50,16.50,24.00,12.00,10
MXA,14.71,N/A,"3,203","8,303",0,0,0,0,0,0
CIZN,18.63,-0.06,163,"1,351",90.73M,13.50,1.38,N/A,N/A,N/A,20.00,20.00,20.00,20.00,1
FU,3.07,0.62,0,"1,394,910",63.87M,3.47,0.88,2.0,2.0,0.0,N/A,N/A,N/A,N/A,N/A
CROX,16.40,0.34,"1,496,991","1,807,760",1.45B,19.90,0.82,2.8,2.9,14.14,15.00,17.00,10.00,7
ACIW,64.34,1.37,"485,198","291,706",2.48B,42.11,1.53,2.8,2.8,0.0,58.00,56.00,70.00,50.00,4
AMSC,1.64,1.67,"1,020,860","696,873",106.41M,N/A,-1.14,3.0,3.0,0.0,2.00,2.00,2.00,2.00,1
SMT,2.17,1.74,"53,521","113,465",262.72M,N/A,-0.41,3.0,3.0,0.0,2.71,2.43,4.50,1.50,4
HAIN,90.68,0.42,"601,370","646,425",4.33B,34.53,2.63,1.8,1.8,0.0,92.94,93.50,104.00,81.00,16
MSFG,17.05,0.98,"43,974","37,267",347.87M,13.76,1.24,2.0,2.0,0.0,18.25,19.00,20.00,15.00,4
MGRC,38.60,1.03,"61,307","62,681",991.48M,22.72,1.70,3.0,3.0,0.0,35.00,35.00,35.00,35.00,1
FB,54.56,N/A,"38,287,706","75,326,700",133.93B,139.53,0.39,1.7,1.7,0.0,59.30,60.00,72.50,24.90,38
TICC,10.31,0.89,"208,235","374,919",549.79M,8.88,1.16,2.7,2.7,0.0,10.67,10.75,11.25,10.00,6
BZC,9.25,-0.22,"5,000","8,752",89.38M,22.08,0.42,1.0,1.0,0.0,N/A,N/A,N/A,N/A,N/A
AUDC,7.64,1.69,"585,089","264,295",292.56M,146.92,0.05,2.0,2.0,0.0,7.00,7.00,7.00,7.00,1
CYAN,4.64,1.4,"21,417","13,724",25.45M,7.84,0.59,3.0,3.0,0.0,14.00,14.00,14.00,14.00,1
BZM,12.63,-0.25,"1,808","11,078",26.19M,N/A,-1.51,3.0,3.0,0.0,N/A,N/A,N/A,N/A,N/A
TRS,39.17,1.62,"124,013","276,702",1.76B,34.69,1.13,1.9,1.9,0.0,43.63,45.00,48.00,37.00,8
HOMB,36.42,0.89,"271,327","197,759",2.37B,29.04,1.25,2.5,2.4,0.1,28.25,28.00,31.00,26.00,8
MDM,4.91,1.31,"2,300","11,473",464.10M,N/A,-0.25,2.0,2.0,0.0,6.50,6.50,6.50,6.50,1
JSM,19.08,N/A,"41,700","40,159",8.32B,5.85,3.26
BONT,17.27,4.01,"221,228","280,813",353.53M,34.40,0.50,2.5,2.5,0.0,15.50,15.50,20.00,11.00,4
JST,8.22,1.24,"103,434","46,284",133.82M,8.19,1.00,2.0,2.0,0.0,8.50,8.50,8.50,8.50,1
NATI,30.71,1.14,"377,557","375,689",3.84B,55.84,0.55,2.7,2.7,0.0,32.80,32.00,38.00,29.00,5
NATH,50.57,0.57,"23,142","13,154",226.05M,27.01,1.87,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DXJS,29.89,32.11M,"38,598","32,922",0,0,0,0,0,0
BBBY,80.48,0.79,"1,399,687","1,281,860",16.96B,17.44,4.62,2.2,2.2,0.0,83.72,85.00,101.00,71.00,18
RPXC,16.87,1.13,"308,437","400,516",885.24M,20.47,0.82,1.7,1.7,0.0,21.92,22.00,26.00,18.50,6
BONA,6.40,0.46,"477,517","346,913",385.10M,N/A,-0.00,2.3,2.3,0.0,5.83,5.90,6.50,5.00,4
GGN,9.18,N/A,"470,455","657,260",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MDW,0.85,1.03,"275,637","280,333",111.60M,N/A,-0.09
BONE,0.51,3.28,"85,146","167,995",26.52M,N/A,-0.29,1.3,1.3,0.0,1.88,1.88,2.00,1.75,2
ESBF,14.10,1.46,"6,533","15,830",244.96M,16.43,0.86,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BPHX,4.60,1.48,0,"4,151",49.38M,N/A,-0.28,3.0,3.0,0.0,2.00,2.00,2.00,2.00,1
AXJS,56.00,5.70M,52,300,0,0,0,0,0,0
DFZ,19.07,0.31,"29,427","29,811",217.15M,18.66,1.02,3.0,3.0,0.0,21.50,21.50,21.50,21.50,1
ACWI,56.77,5.07B,"832,734","1,367,160",0,0,0,0,0,0
HYZD,25.10,N/A,460,700,0,0,0,0,0,0
ESBK,25.38,0.05,"2,345","1,657",67.18M,17.77,1.43,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ILMN,108.61,1.15,"1,088,203","1,171,370",13.73B,129.61,0.84,2.4,2.4,0.0,96.61,90.00,125.00,72.00,19
GRVY,0.98,0.82,"40,166","50,789",27.24M,N/A,-0.58,N/A,N/A,N/A,0.00,0.00,0.00,0.00,0
MVF,9.06,-0.25,"78,176","163,230",579.68M,N/A,-0.83
MVG,5.40,1.75,"58,129","71,222",324.76M,N/A,-0.33,2.0,2.0,0.0,20.00,20.00,20.00,20.00,1
ACWX,45.76,1.68B,"2,078,183","421,508",0,0,0,0,0,0
OESX,6.84,1.76,"281,946","198,384",144.74M,51.43,0.13,1.5,1.5,0.0,7.50,7.50,7.50,7.50,1
ALN,0.76,-0.12,"246,146","162,381",26.31M,1.50,0.51,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
YY,58.02,N/A,"5,313,648","1,631,960",3.20B,61.92,0.94,2.2,2.0,0.2,53.88,54.75,60.00,46.00,4
VIIX,58.36,10.30M,"87,309","157,541",0,0,0,0,0,0
PLPM,2.99,1.23,"1,928,908","225,024",158.62M,N/A,-0.01,1.5,1.5,0.0,4.88,5.00,5.50,4.14,3
SUTR,1.83,2.28,"24,313","79,778",75.79M,3.66,0.50,2.0,2.0,0.0,2.50,2.50,2.50,2.50,1
RTIX,3.45,1.02,"105,149","294,041",194.03M,N/A,-0.15,2.8,2.8,0.0,4.13,3.75,5.50,3.50,4
NTS,1.95,1.63,"2,072","88,120",82.03M,N/A,-0.03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PLPC,71.62,2.26,"5,759","16,852",383.74M,16.99,4.22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
UEPS,8.62,0.71,"82,384","180,671",389.66M,22.62,0.38,1.0,1.0,0.0,13.50,13.50,15.00,12.00,2
MARK,4.95,2.98,"21,386","29,300",54.00M,N/A,-0.86,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
JACQU,10.63,N/A,0,608,56.69M,N/A,N/A
NTK,76.02,1.33,"10,903","33,543",1.17B,N/A,-0.78,3.0,3.0,0.0,76.00,76.00,76.00,76.00,1
JACQW,0.12,N/A,"35,807",N/A,0,0,0,0,0,0
VTWO,91.51,634.30M,"24,536","52,810",0,0,0,0,0,0
MXWL,7.51,0.93,"165,887","338,459",216.92M,18.01,0.42,2.8,2.8,0.0,8.50,8.50,9.00,8.00,3
NTN,0.68,1.51,"71,965","103,232",48.81M,N/A,-0.00,N/A,N/A,N/A,2.00,2.00,2.00,2.00,1
ASCMA,84.54,0.65,"49,719","48,570",1.19B,N/A,-0.74,2.2,2.2,0.0,95.67,92.00,105.00,90.00,3
VTWG,98.03,247.74M,"10,799","15,498",0,0,0,0,0,0
LYTS,8.48,1.6,"25,915","50,843",203.96M,N/A,-0.01,1.0,1.0,0.0,11.50,11.50,12.00,11.00,2
PAGG,29.63,92.27M,"11,909","9,916",0,0,0,0,0,0
USAK,13.14,2.39,"100,115","160,971",135.66M,N/A,-0.75,3.7,3.7,0.0,7.50,7.50,9.00,6.00,2
ADBE,59.16,1.4,"1,588,951","3,905,960",29.54B,105.64,0.56,2.2,2.2,0.0,60.24,63.00,70.00,42.00,21
DECK,85.73,0.78,"894,113","1,469,150",2.96B,29.10,2.95,2.2,2.2,0.0,84.80,89.00,110.00,50.00,15
ERC,14.12,N/A,"213,312","158,979",0,0,0,0,0,0
HPAC,10.70,-0.034,100,56,33.24M,N/A,-0.18
TECUB,8.82,0.78,"29,112","10,335",162.98M,N/A,-1.67
MDXG,8.43,0.4,"566,653","665,281",824.88M,N/A,-0.05,1.8,1.8,0.0,9.00,9.00,12.00,6.00,4
MITL,9.46,3.29,"400,523","473,556",510.34M,46.15,0.21,1.6,1.6,0.0,11.90,12.00,12.50,11.00,5
MITK,5.74,2.76,"121,137","349,765",174.67M,N/A,-0.27,2.5,2.5,0.0,6.38,6.38,7.00,5.75,2
LMOS,20.80,-0.81,"73,958","208,095",458.06M,29.17,0.71,2.0,2.0,0.0,24.50,25.00,28.00,20.00,4
XPLR,6.60,1.22,"84,054","8,852",55.42M,N/A,-0.30
USAP,36.54,2.13,"18,430","16,600",254.46M,N/A,-0.02,3.0,3.0,0.0,35.00,35.00,35.00,35.00,1
EPZM,20.57,N/A,"91,250","264,714",584.35M,N/A,-2.06,1.4,1.4,0.0,40.50,41.00,43.00,37.00,4
HBIO,4.65,1.28,"80,515","179,302",144.20M,"1,162.50",0.00,1.0,1.0,0.0,5.24,5.24,5.24,5.24,1
BELFA,19.58,1.01,"1,163","1,041",223.17M,30.79,0.64
BVSN,9.71,2.59,"7,188","20,468",46.08M,N/A,-1.12,N/A,N/A,N/A,0.00,0.00,0.00,0.00,0
ISSC,7.08,1.29,"19,417","33,160",119.57M,64.36,0.11,1.0,1.0,0.0,10.00,10.00,10.00,10.00,1
STRZB,28.75,0.96,360,357,3.25B,14.59,1.97
BELFB,21.71,1.05,"10,203","40,351",247.45M,34.14,0.64,2.0,2.0,0.0,27.00,27.00,27.00,27.00,1
KBIO,4.40,N/A,"203,867","104,302",144.85M,N/A,-2.62,1.3,1.3,0.0,13.00,13.00,15.00,11.00,2
ATNI,56.71,1.09,"45,639","33,260",892.45M,2.91,19.48,2.7,2.7,0.0,55.33,53.00,62.00,51.00,3
KFX,7.17,0.626,"36,731","206,755",657.04M,65.18,0.11
BAXS,1.11,0.58,"1,712,298","235,738",50.17M,N/A,-1.07,1.4,1.4,0.0,3.94,4.00,4.00,3.75,4
BNDX,49.60,18.87B,"82,374","124,830",0,0,0,0,0,0
NHS,13.31,N/A,"30,638","51,156",0,0,0,0,0,0
FITB,20.92,1.31,"4,436,573","7,154,840",18.47B,10.43,2.01,2.5,2.5,0.0,21.34,21.00,25.00,16.00,28
WVFC,11.85,0.23,"6,237","1,417",24.38M,27.56,0.43,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
USAT,1.85,2.37,"130,661","172,183",63.05M,142.31,0.01,1.3,1.3,0.0,3.25,3.25,3.50,3.00,2
ATNY,3.40,1.45,"17,234","44,881",186.48M,N/A,-0.23,2.0,2.0,0.0,5.57,5.57,5.57,5.57,1
NSYS,5.50,0.72,"8,787","68,333",15.08M,18.39,0.30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SLGN,48.38,0.64,"181,526","232,143",3.07B,16.64,2.91,3.0,3.0,0.0,48.33,48.00,53.00,46.00,9
IAF,8.58,N/A,"109,029","102,411",0,0,0,0,0,0
FTNT,19.27,2.43,"2,351,406","2,348,710",3.15B,60.22,0.32,2.1,2.1,0.0,24.38,25.00,30.00,20.00,21
BANR,44.46,2.32,"58,752","105,392",867.37M,17.89,2.49,2.5,2.5,0.0,43.40,42.00,48.00,40.00,5
SIGM,4.61,0.55,"400,729","307,962",158.96M,N/A,-1.40,2.5,2.5,0.0,9.00,9.00,9.00,9.00,1
PCYO,6.47,1.51,"70,396","79,456",155.52M,N/A,-0.17,1.0,1.0,0.0,10.00,10.00,12.00,8.00,2
BANX,24.75,N/A,"1,619","31,905",0,0,0,0,0,0,2.0,1.5,0.5,27.38,27.38,28.00,26.75,2
RGDO,5.10,N/A,"8,309","33,859",108.68M,N/A,-10.59,1.6,1.6,0.0,12.40,12.00,14.00,10.00,5
NVEEW,3.47,N/A,29,N/A,0,0,0,0,0,0
BANF,55.53,1.12,"16,166","22,586",849.78M,16.33,3.40,2.7,2.7,0.0,53.67,53.00,56.00,52.00,3
NZF,12.43,N/A,"134,059","188,617",0,0,0,0,0,0
BANC,13.27,1.21,"31,390","92,946",246.90M,N/A,-0.59,1.9,1.9,0.0,15.50,15.00,17.00,14.50,7
CMLS,7.98,1.9,"2,148,566","1,907,650",1.64B,N/A,-0.44,1.8,1.8,0.0,8.75,9.00,10.00,7.00,5
RGDX,1.22,0.91,"419,508","141,287",41.78M,N/A,-0.16,1.0,1.0,0.0,2.75,2.75,2.75,2.75,1
NZH,11.54,-0.2,"47,869","66,670",278.70M,N/A,-1.20
UG,27.78,0.07,"2,686","2,924",127.68M,23.31,1.19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NHC,53.64,N/A,"22,049","17,557",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BHB,39.99,0.4,"4,751","6,051",157.48M,12.38,3.23,2.0,2.0,0.0,44.00,44.00,44.00,44.00,1
CISAA,10.13,N/A,178,"6,268",16.57M,N/A,-3.34
CRAY,27.86,1.12,"283,855","329,290",1.06B,N/A,-0.13,2.0,2.0,0.0,29.94,30.00,32.00,27.75,4
XGTIW,0.60,N/A,0,N/A,0,0,0,0,0,0
TRGT,4.09,1.97,"1,120,617","295,794",137.67M,N/A,-1.46,3.0,3.0,0.0,4.25,4.25,4.50,4.00,2
CISAU,10.33,N/A,0,714,14.66M,N/A,N/A
CISAW,0.26,N/A,0,N/A,425.36K,N/A,-3.34
PRCP,14.16,1.27,"99,160","131,754",125.97M,25.15,0.56,3.0,3.0,0.0,N/A,N/A,N/A,N/A,N/A
CRAI,20.15,0.74,"28,551","36,443",204.80M,N/A,-4.55,1.7,1.7,0.0,26.50,26.50,30.00,23.00,2
BHV,14.77,-0.12,"6,732","8,740",23.43M,N/A,-1.80
TAXI,14.17,1.07,"212,003","196,743",308.41M,12.11,1.17,2.5,2.5,0.0,17.00,17.00,18.00,16.00,2
IGTE,40.11,1.62,"249,676","365,438",2.34B,36.43,1.10,2.3,2.3,0.0,36.86,35.00,48.00,29.00,7
STRZA,29.39,1.28,"713,597","789,525",3.32B,14.91,1.97,3.0,3.0,0.0,28.60,28.00,36.00,22.00,10
ISSI,11.97,1.57,"43,398","106,583",352.71M,20.29,0.59,1.8,1.8,0.0,13.40,13.00,15.00,13.00,5
ARAY,8.56,1.89,"470,635","994,332",640.90M,N/A,-1.28,1.7,1.7,0.0,9.20,9.00,11.00,8.00,5
EGT,1.22,0.74,"9,273","23,667",36.64M,N/A,-0.09,N/A,N/A,N/A,2.00,2.00,3.00,1.00,2
XONE,66.91,N/A,"1,564,987","687,913",962.63M,N/A,-0.25,2.0,2.0,0.0,67.43,72.00,75.00,48.00,7
RDNT,1.61,2.09,"117,182","143,270",64.54M,1.01,1.59,2.7,2.7,0.0,3.63,3.63,5.00,2.25,2
EGI,0.32,2.64,"205,084","87,695",46.66M,N/A,-0.11,3.0,3.0,0.0,0.47,0.47,0.47,0.47,1
SZYM,11.08,1.98,"462,173","692,062",755.14M,N/A,-1.73,2.1,2.1,0.0,12.94,14.00,16.00,4.00,9
CLIR,9.88,N/A,"253,561","95,329",87.04M,N/A,-0.60,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BEBE,5.68,0.95,"229,898","332,136",449.08M,N/A,-1.05,2.7,2.7,0.0,6.63,6.00,9.00,5.50,4
CNYD,3.22,0.55,"5,585","8,684",12.59M,N/A,-2.86,1.0,1.0,0.0,11.50,11.50,11.50,11.50,1
EXTR,7.03,1.55,"919,327","1,523,230",664.14M,N/A,-0.04,1.5,1.5,0.0,8.00,8.00,9.00,7.00,4
LBY,20.32,1.07,"90,394","68,251",432.78M,21.32,0.95,1.5,1.5,0.0,28.50,28.50,30.00,27.00,2
SFXE,10.97,N/A,"377,757","1,129,210",957.09M,N/A,-1.57,1.5,1.5,0.0,15.25,15.00,17.00,14.00,4
SMIT,2.66,0.35,900,"5,578",7.95M,N/A,-0.27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
STSI,0.99,1.07,"3,069,322","1,380,700",167.74M,N/A,-0.19,2.0,2.0,0.0,0.00,0.00,0.00,0.00,0
NBCB,32.03,N/A,"52,115","92,562",574.43M,16.06,2.00,2.0,2.0,0.0,32.67,33.00,33.00,32.00,3
STSA,33.37,1.74,"90,738","304,092",2.06B,22.82,1.46,2.6,2.6,0.0,31.09,30.50,35.60,27.00,7
MDCO,38.21,1.21,"342,860","725,716",2.26B,63.68,0.60,1.8,1.8,0.0,41.95,42.00,50.00,36.00,11
WPPGY,113.58,1.47,"29,473","45,546",28.63B,22.58,5.03,2.0,2.0,0.0,115.66,117.32,121.00,107.00,4
GOMO,21.32,N/A,"816,861","995,825",689.81M,N/A,N/A,3.0,3.0,0.0,17.00,17.00,17.00,17.00,1
CNOB,39.69,N/A,"1,249","8,765",201.98M,18.05,2.20,2.0,2.0,0.0,46.00,46.00,46.00,46.00,1
PLCC,1.01,1.58,0,"12,729",6.17M,N/A,-0.28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GMAN,8.10,1.32,"77,215","71,375",156.74M,11.89,0.68,2.8,2.8,0.0,10.50,10.50,11.00,10.00,2
RMCF,11.59,0.69,"9,788","11,681",70.87M,39.29,0.30,2.0,2.0,0.0,14.15,14.15,16.00,12.30,2
WLBPZ,34.84,N/A,"1,430",578,0,0,0,0,0,0
EVRY,8.18,N/A,"15,389","39,895",167.85M,N/A,-0.76,2.0,2.0,0.0,12.25,13.00,13.00,10.00,4
BFY,12.74,N/A,"12,849","26,227",0,0,0,0,0,0
FMER,21.73,1.49,"885,436","954,986",3.59B,18.96,1.15,2.5,2.5,0.0,23.85,24.53,27.00,19.00,13
SBNY,106.05,1.06,"148,268","236,122",5.01B,23.67,4.48,2.1,2.1,0.0,110.11,110.00,125.00,98.00,18
MDCA,25.99,2,"136,403","226,468",1.26B,N/A,-1.69,1.9,1.9,0.0,26.80,26.67,30.00,22.67,5
BWEN,10.38,2.54,"688,666","270,167",151.41M,N/A,-0.95,2.3,2.3,0.0,4.50,4.50,4.50,4.50,1
ROSE,46.65,2.08,"919,808","1,102,620",2.86B,12.47,3.74,2.0,2.0,0.0,60.28,61.00,78.00,48.00,25
OZRK,56.61,1.25,"195,729","156,067",2.08B,24.30,2.33,2.9,2.9,0.0,52.88,52.50,60.00,45.00,8
ROSG,3.07,-6.37,"150,224","217,638",30.14M,N/A,-1.21,3.0,3.0,0.0,3.50,3.50,3.50,3.50,1
OSBC,4.71,1.23,"23,273","21,044",65.55M,0.85,5.52,3.0,3.0,0.0,6.00,6.00,6.00,6.00,2
VIP,12.40,1.94,"2,176,218","3,074,760",21.08B,10.23,1.21,2.5,2.5,0.0,14.21,14.30,18.90,11.00,19
SILC,45.40,2.22,"18,488","38,760",322.98M,24.01,1.89,2.0,2.0,0.0,48.00,48.00,48.00,48.00,1
GURE,2.35,0.7,"383,408","527,173",90.17M,5.12,0.46,1.0,1.0,0.0,14.50,14.50,14.50,14.50,1
ROST,74.33,0.58,"1,101,424","1,697,500",15.97B,18.89,3.93,2.3,2.3,0.0,79.04,80.00,90.00,63.00,24
EXFO,4.83,1.16,"49,338","57,544",291.59M,241.50,0.02,2.7,2.7,0.0,5.50,5.25,7.00,4.50,8
VIDE,3.67,0.13,"11,423","8,489",27.87M,29.36,0.13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NVDQ,16.36,0.84,"56,509","224,675",795.44M,N/A,-0.38,2.0,2.0,0.0,18.34,20.00,26.00,6.00,11
OCC,3.73,1.93,"7,518","6,557",24.48M,N/A,-0.01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
VLGEA,31.89,1.25,"25,948","18,906",441.80M,17.26,1.85,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PCYG,9.48,0.86,"66,667","93,311",158.32M,N/A,-0.06,N/A,N/A,N/A,2.35,2.35,2.35,2.35,1
NVDA,15.67,1.45,"6,483,288","7,247,500",8.91B,20.25,0.77,2.9,2.9,0.0,15.04,15.00,20.00,10.50,25
ELRC,18.16,1.33,"31,756","33,332",435.77M,18.92,0.96,1.0,1.0,0.0,24.00,24.00,24.00,24.00,1
STAA,16.10,-0.25,"122,521","127,360",600.48M,N/A,-0.01,2.0,2.0,0.0,15.00,15.00,18.00,12.00,4
CEF,13.78,0.9,"753,984","944,078",3.51B,N/A,-5.74,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PKT,14.92,1.1,"214,626","238,922",303.56M,N/A,-0.59,1.4,1.4,0.0,20.00,19.50,23.00,18.00,6
PCYC,105.78,1.06,"732,232","1,027,670",7.80B,178.98,0.59,2.1,2.1,0.0,142.93,147.50,170.00,104.00,14
FLOW,4.04,2.27,"265,363","435,056",198.17M,101.00,0.04,4.0,4.0,0.0,4.03,4.05,4.05,4.00,3
BPOPM,18.20,N/A,"4,084","2,621",0,0,0,0,0,0
BPOPN,19.24,N/A,"3,125","8,494",0,0,0,0,0,0
PULB,11.47,0.64,"16,195","12,516",128.57M,15.50,0.74,2.3,2.3,0.0,11.25,11.25,11.50,11.00,2
CEV,11.40,N/A,"22,996","29,997",0,0,0,0,0,0
CET,21.66,0.95,"19,903","41,716",501.49M,6.76,3.21
HILL,3.27,2.67,"74,682","167,287",192.93M,N/A,-0.04,2.0,2.0,0.0,3.25,3.25,3.50,3.00,2
CEP,2.34,0.35,"14,787","64,546",69.48M,N/A,-3.72,3.5,3.5,0.0,2.50,2.50,2.50,2.50,1
ASMI,32.40,1.34,"2,197","5,914",2.05B,1.16,27.95,2.0,2.0,0.0,26.92,26.92,26.92,26.92,1
CWTR,0.83,-0.33,"711,512","334,165",25.42M,N/A,-2.61,3.0,3.0,0.0,1.53,0.90,3.00,0.70,3
ASML,92.04,1.37,"1,084,074","1,048,450",40.77B,37.54,2.45,2.2,2.2,0.0,95.49,98.50,116.00,54.00,14
SYMC,23.11,1.08,"4,815,938","7,803,520",16.09B,20.10,1.15,2.4,2.4,0.0,25.25,26.00,33.00,18.00,20
IBTX,49.28,N/A,"30,963","21,210",595.11M,30.55,1.61,2.3,2.3,0.0,49.33,51.00,52.00,45.00,3
BICK,24.00,20.00M,"1,068","2,162",0,0,0,0,0,0
JACQ,10.29,1.530,"10,636","1,284",24.14M,N/A,N/A
LUNA,1.35,0.75,"20,149","45,314",19.55M,38.57,0.04,N/A,N/A,N/A,0.50,0.50,0.50,0.50,1
SUMR,1.82,1.75,"92,054","111,378",32.71M,N/A,-0.15,1.8,1.8,0.0,3.92,4.00,4.25,3.50,3
JACK,49.80,0.35,"362,809","302,925",2.12B,43.72,1.14,2.2,2.2,0.0,53.00,53.00,60.00,45.00,10
BKSC,15.75,0.68,"4,781","2,814",70.18M,17.12,0.92,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CSQ,10.86,N/A,"313,297","364,833",0,0,0,0,0,0
RIBT,5.48,1.21,"467,160","45,443",15.72M,N/A,-9.31,N/A,N/A,N/A,1.80,1.80,1.80,1.80,1
VOXX,16.65,2.8,"84,014","137,797",404.26M,13.16,1.27,1.7,1.7,0.0,19.42,19.50,23.00,16.00,6
OUTR,68.65,1.2,"415,780","778,194",1.85B,11.42,6.01,2.5,2.5,0.0,75.33,80.00,103.00,30.00,9
BIOD,3.00,2.62,"3,159,664","536,402",63.22M,N/A,-1.23,1.8,1.8,0.0,6.00,6.00,9.00,3.00,3
UNXL,9.49,-0.04,"1,137,606","700,697",116.12M,N/A,-1.10,2.5,2.2,0.3,26.00,18.00,50.00,10.00,3
WIFI,6.41,1.32,"97,034","181,611",227.68M,915.71,0.01,1.5,1.5,0.0,9.00,10.00,10.50,6.50,5
ALGT,108.66,-0.26,"101,981","76,095",2.02B,23.28,4.67,2.7,2.7,0.0,100.50,105.00,115.00,67.00,10
XBKS,6.00,0.32,378,"5,435",62.79M,31.92,0.19,2.5,2.5,0.0,6.75,6.75,7.00,6.50,2
ALGN,57.17,2.69,"331,336","1,095,740",4.59B,150.45,0.38,2.2,2.2,0.0,58.40,58.50,66.00,52.00,10
ARWR,10.17,2.92,"466,075","606,703",393.58M,N/A,-1.30,1.8,1.8,0.0,11.17,12.00,15.00,6.50,3
HFBL,17.70,-0.13,737,"4,111",37.38M,13.76,1.29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ACXM,36.25,1.68,"610,976","537,805",2.72B,54.10,0.67,2.0,2.0,0.0,37.25,40.00,44.00,25.00,4
NURO,2.76,0.74,"203,625","772,167",8.24M,N/A,-3.01,2.0,2.0,0.0,6.30,6.30,6.30,6.30,1
HFBC,11.40,1.25,"25,568","12,724",85.31M,25.62,0.45,3.0,3.0,0.0,11.00,11.00,11.00,11.00,1
XLRN,39.01,N/A,"124,185","128,432",1.10B,N/A,-0.40,1.5,1.5,0.0,34.00,35.00,36.00,30.00,4
NWBI,14.74,0.44,"359,997","615,924",1.39B,21.42,0.69,2.8,2.8,0.0,14.50,14.50,15.00,14.00,3
NWBO,4.23,2.93,"669,473","139,514",162.88M,N/A,-2.94,1.3,1.3,0.0,7.67,7.67,10.33,5.00,2
HIBB,66.39,1.23,"229,603","290,102",1.71B,23.87,2.78,2.7,2.7,0.0,62.67,63.00,72.00,52.00,12
